region,age_group,family_num,job,job_hk18,householder_job,income
0,60,2.0,1.0,1,16.0,130
5,40,4.0,1.0,1,5.0,400
5,50,1.0,5.0,0,18.0,400
2,30,4.0,1.0,1,11.0,280
4,30,2.0,8.0,0,0.0,500
0,60,3.0,1.0,1,18.0,200
0,50,6.0,11.0,0,3.0,350
0,50,4.0,1.0,1,7.0,230
0,50,2.0,1.0,1,5.0,150
1,40,4.0,1.0,1,4.0,350
1,50,3.0,1.0,1,15.0,600
9,30,3.0,4.0,0,13.0,700
13,50,2.0,1.0,1,16.0,200
4,60,5.0,5.0,0,18.0,300
2,30,4.0,1.0,1,11.0,280
1,60,4.0,1.0,1,4.0,400~449만원
1,40,4.0,1.0,1,4.0,280
5,30,1.0,8.0,0,18.0,220
1,60,2.0,1.0,1,5.0,120
1,30,8.0,1.0,1,11.0,350
0,50,3.0,2.0,0,1.0,280
12,50,3.0,1.0,1,1.0,400
3,60,3.0,1.0,1,2.0,270
2,50,3.0,1.0,0,1.0,150
0,30,1.0,4.0,0,4.0,150
4,40,1.0,18.0,0,18.0,50
0,50,4.0,7.0,0,4.0,700
0,50,4.0,1.0,1,4.0,800
11,30,4.0,2.0,0,3.0,450
9,50,1.0,3.0,0,0.0,120
2,30,4.0,1.0,1,11.0,280
12,50,3.0,1.0,1,16.0,400
1,50,4.0,1.0,0,3.0,380
0,50,4.0,3.0,0,11.0,380
1,40,4.0,6.0,0,6.0,450
0,30,1.0,4.0,0,4.0,230
0,60,2.0,1.0,1,14.0,250
0,50,3.0,5.0,0,20.0,800
4,60,3.0,2.0,0,2.0,350
3,30,4.0,1.0,1,4.0,300
1,30,3.0,1.0,1,2.0,350
0,40,3.0,1.0,1,3.0,700만원이상
1,40,1.0,9.0,0,0.0,350
0,40,4.0,1.0,1,6.0,300
1,30,1.0,6.0,0,0.0,220
12,50,2.0,1.0,0,1.0,300
9,30,3.0,1.0,1,9.0,450
1,60,2.0,3.0,0,17.0,400
2,40,2.0,7.0,0,2.0,150
1,40,4.0,1.0,0,4.0,440
1,50,4.0,1.0,0,3.0,300
1,50,5.0,1.0,1,2.0,600
0,40,4.0,1.0,0,13.0,600
0,50,4.0,1.0,1,3.0,800
3,30,4.0,6.0,0,15.0,700
5,30,4.0,5.0,0,6.0,600
0,40,6.0,2.0,0,3.0,280
8,30,4.0,1.0,1,13.0,270
1,50,4.0,1.0,0,2.0,600
0,30,3.0,1.0,1,3.0,300
0,50,4.0,1.0,0,1.0,350
8,50,4.0,1.0,1,3.0,200
1,40,4.0,1.0,1,3.0,380
1,60,4.0,2.0,0,2.0,450~499만원
1,40,3.0,1.0,0,3.0,600
0,30,3.0,1.0,1,1.0,450~499만원
9,40,5.0,13.0,0,3.0,350
7,40,5.0,6.0,0,6.0,300
6,40,3.0,2.0,0,13.0,430
1,40,7.0,1.0,1,11.0,700만원이상
9,40,2.0,3.0,0,9.0,500
1,50,3.0,1.0,0,11.0,350
1,40,3.0,1.0,1,3.0,150
2,40,4.0,1.0,1,2.0,230
1,30,1.0,6.0,0,0.0,400
1,50,2.0,3.0,0,11.0,450~499만원
3,60,2.0,1.0,1,16.0,150
1,60,3.0,1.0,1,13.0,450
2,40,5.0,1.0,1,4.0,380
1,50,2.0,1.0,0,1.0,350
1,30,3.0,3.0,0,1.0,300
0,40,4.0,1.0,1,3.0,430
